twitter_link,text,date,likes,comments
https://twitter.com/RarePizzas/status/1786505149646504092#m,"Hey box holders, gas is ~10 Gwei. Now is a great time to mint your Rare Pizza.   Mint link below 👇","May 3, 2024 · 9:16 PM UTC",26,3
https://twitter.com/Pizza_DAO/status/1784629949254529043#m,Starting... now! discord.gg/pizzamafia,"Apr 28, 2024 · 5:05 PM UTC",6,2
https://twitter.com/Pizza_DAO/status/1784587343543840812#m,"Done for now, but we'll be back for another training session in just under 2 hours! https://discord.com/events/812097286003359764/1234145899819831326","Apr 28, 2024 · 2:15 PM UTC",7,0
https://twitter.com/Pizza_DAO/status/1784205376763593128#m,"🍕📆 Global Pizza Party Host Training Sunday, April 28 on @discord 📅🍕  ⏰ 9 a.m. EDT / 6 a.m. PDT / 8 a.m. CDT⏰  https://discord.com/events/812097286003359764/1231617180722925630 #PizzaDAO #RarePizzas","Apr 27, 2024 · 12:58 PM UTC",12,1
https://twitter.com/Pizza_DAO/status/1784203298469257675#m,"🍕 ☎️  Community Call Sunday, April 28 on @discord! ☎️ 🍕  🌞 10am PDT / 1pm EDT / 7pm CDT 🌕   Sunday's Menu:  🍕2024 Global Pizza Party May 22 planning 🗳️ Proposals and Hiring  🤫 Meet us in ⁠🤌 The Back Room  https://discord.com/events/812097286003359764/1231861550118076426/1234187373772800000 #PizzaDAO #RarePizzas","Apr 27, 2024 · 12:49 PM UTC",36,2
https://twitter.com/Pizza_DAO/status/1783179232744489086#m,https://x.com/i/spaces/1lDxLPXXqZMxm,"Apr 24, 2024 · 5:00 PM UTC",23,13
https://twitter.com/Pizza_DAO/status/1783165569547596265#m,https://x.com/i/spaces/1lDxLPXXqZMxm,"Apr 24, 2024 · 4:06 PM UTC",5,0
https://twitter.com/Pizza_DAO/status/1783165566561247396#m,"Ven y entérate sobre la ronda colaborativa entre @NounsDAOAmigos y PizzaDAO para LATAM, haz tu fiesta de pizza lo más nounish posible, conéctate y conoce como participar.  Link 👇","Apr 24, 2024 · 4:06 PM UTC",44,1
https://twitter.com/Pizza_DAO/status/1782096001563586711#m,We just added Mumbai to the list! Invite your friends there to join us 💌 https://t.me/+h9Bcpt-O94g5MTQx,"Apr 21, 2024 · 5:16 PM UTC",4,0
https://twitter.com/Pizza_DAO/status/1782092431753679042#m,Call starts... now! 🍕🤙 discord.gg/pizzamafia,"Apr 21, 2024 · 5:02 PM UTC",17,2
